ID 	Type	Author/editor	Title	Subtitle	Description	VolumeDetails	EditorTranslator	Periodical	VolNo	No.ofVols	PlaceOfPublication	Publisher	Date(year)	Date(month)	Date(full)	PageRange	CrossRef	Index?
ref159	"Book:monograph"	"F. H. Woods"  "For faith and science"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref161	"Book:monograph"	"Frederic Harrison"  "The creed of a layman"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref160	"Book:monograph"	"F. C. Burkitt"  "The gospel history and its transmission"  ""  ""  ""  ""  ""  ""  "Edinburgh"  ""  ""  ""  ""  ""  ""  
ref162	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref163	"Book:monograph"	"Mrs Humphrey Ward"  "The marriage of William Ashe"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref165	"Other:Letter:letter"	"H. H. Henson"  "What is the law of the English church?"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "9"  ""  
ref164	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref166	"Other:Letter:letter"	"H. H. Henson"  "What is the law of the English church?"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "5"  ""  
ref167	"Other:Letter:letter"	"H. H. Henson"  "What is the law of the English church?"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "7"  ""  
ref168	"Other:Letter:letter"	"H. H. Henson"  "The church and the law"  ""  ""  ""  "Westminster Gazette"  ""  ""  ""  ""  ""  ""  ""  "1"  ""  
ref169	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref171	"Book:monograph"	"H. H. Henson"  "Christian marriage"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref170	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref173	"Book:monograph"	"John Emerich Edward, 1st baron Acton"  "The history of freedom and other essays"  ""  ""  "John Neville Figgis and Reginald Vere Laurence, eds."  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref172	"Book:monograph"	"Wilhelm Bousset"  "What is religion?"  ""  ""  "F. B. Low, trans."  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref174	"Book:monograph"	"R. J. Campbell"  "Christianity and the social order"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref175	"Book:monograph"	"Frederick Denison Maurice"  "The kingdom of Christ, or, hints to a Quaker"  ""  ""  ""  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref176	"Book:monograph"	"John Watson"  "The Scot of the eighteenth century"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref178	"Book:monograph"	"Bernard Lucas"  "The empire of Christ"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref177	"Book:monograph"	"John Manson"  "The Salvation Army and the public"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref179	"Book:edited collection"	"John Ellison and G. H. S. Walpole, eds."  "Church and empire"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref180	"Book:monograph"	"W. P. DuBose"  "The gospel in the gospels"  ""  ""  ""  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref181	"Book:monograph"	"Edmund Calamy"  "An historical account of my own life, with some reflections on the times I have lived in (1671-1731)"  ""  ""  "John Towill Rutt, ed."  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref182	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref183	"Book:monograph"	"Gilbert Burnet"  "Burnet's history of my own time"  ""  ""  "Osmund Airy, ed."  ""  ""  "2 vols"  "Oxford"  ""  ""  ""  ""  ""  ""  
ref184	"Book:monograph"	""  "The programme of modernism"  ""  ""  "George Tyrrell, trans."  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref185	"Book:monograph"	"William Sanday"  "The life of Christ in recent research"  ""  ""  ""  ""  ""  ""  "Oxford"  ""  ""  ""  ""  ""  ""  
ref187	"Book:monograph"	"Jeremy Taylor"  "A discourse of the liberty of prophesying"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref186	"Book:monograph"	"T. E. S Clarke and H. C. Foxcroft"  "A life of Gilbert Burnet, bishop of Salisbury"  ""  ""  ""  ""  ""  "2 vols"  "Cambridge"  ""  ""  ""  ""  ""  ""  
ref189	"Book:monograph"	"Henry Barclay Swete"  "The appearances of our Lord after the passion"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref188	"Book:monograph"	"Henry Norbert Birt"  "The Elizabethan religious settlement"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref191	"Book:monograph"	"Frederick Denison Maurice"  "The epistle to the Hebrews, with a preface containing a review of Mr. Newman's theory of development"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref192	"Book:monograph"	"Hutton Webster"  "Primitive secret societies"  ""  ""  ""  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref190	"Book:monograph"	"Edwin A. Abbott"  "Silanus, the Christian"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref193	"Other:Book chapter"	"Matthew Arnold"  "Culture and anarchy"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref194	"Book:monograph"	"Gilbert Burnet"  "A discourse of the pastoral care"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref195	"Book:monograph"	"Herbert Mortimer Luckock"  "The bishops in the tower"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref196	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref197	"Book:edited collection "	"David Wilkens, ed."  "Concilia magnae britanniae et hiberniae a synodo verolamiensi A.D. 446 ad Londinensem A.D. 1717"  ""  ""  ""  ""  ""  "4 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref198	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref200	"Other:Letter:letter"	"H. H. Henson, et. al."  "The bishop of Birmingham and Canon Henson"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "10"  ""  
ref199	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref202	"Other:Letter:letter"	"H. H. Henson"  "Episcopal authority and the law"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "6"  ""  
ref201	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref203	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref205	"Book:monograph"	"H. H. Henson"  "The national church"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref204	"Other:Letter:letter"	"H. H. Henson"  "Canon Henson on current politics"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "11"  ""  
ref206	"Other:Book chapter"	"H. H. Henson"  "Our unhappy divisions"  ""  "<i>Cross-bench views of current church questions</i>"  ""  ""  ""  ""  "London"  ""  ""  ""  ""  "341-55"  "ref.9"  
ref207	"Other:Poem"	"Matthew Arnold"  "The scholar gipsy'"  ""  "<i>Poems</i>"  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref208	"Other:Letter:letter"	"C. H. T."  "Canon Henson on episcopacy"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "16"  ""  
ref210	"Book:monograph"	"Bernard of Clairvaux"  "Life and works of Saint Bernard, abbot of Clairvaux"  ""  ""  "John Mabillon and Samuel J. Eales, eds., Samuel J. Eales, trans."  ""  ""  "4 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref209	"Other:Letter:letter"	"H. H. Henson"  "Canon Henson on episcopacy"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "18"  ""  
ref211	"Book:monograph"	"George W. Cox"  "The life of John William Colenso, D.D., bishop of Natal"  ""  ""  ""  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref212	"Book:monograph"	"James Drummond"  "Philo Judaeus, or, the Jewish-Alexandrian philosophy in its development and completion "  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref213	"Other"	""  ""  "Marcus Tullius Cicero, <i>Laelius de amicitia</i> (Essay on friendship), written in 44 BCE"  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref214	"Book:monograph"	"Antonio de Guaras"  "The accession of Queen Mary"  ""  ""  "Richard Garnett, ed."  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref215	"Book:monograph"	"Jeanne Marie Bouvier de la Motte-Guyon"  "Autobiography of Madame Guyon"  ""  ""  "Thomas Taylor Allen, trans."  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref216	"Book:monograph"	"W. Grinton Berry"  "Bishop Hannington"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref217	"Book:monograph"	"Increase Mather"  "An essay for the recording of illustrious providences wherein an account is given of many remarkable and very memorable events which have hapned this last age, especially in New-England"  ""  ""  ""  ""  ""  ""  "Boston"  ""  ""  ""  ""  ""  ""  
ref218	"Book:monograph"	"Louis Basile Carr&eacute; de Montgeron"  "La v&eacute;rit&eacute; des miracles op&eacute;r&eacute;s Ë† l'intercession de M. de Pâ€°ris"  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref219	"Book:monograph"	"Charles F. S. Warren"  "The authorship, text, and history of the hymn Dies irae"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref220	"Book:monograph"	"J. Oswald Dykes"  "The christian minister and his duties"  ""  ""  ""  ""  ""  ""  "Edinburgh"  ""  ""  ""  ""  ""  ""  
ref221	"Book:monograph"	"F. J. A. Hort"  "The apocalypse of St. John I-III"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref222	"Book:monograph"	"J. A. Farrer"  "Literary forgeries"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref224	"Book:monograph"	"Reinhold Seeberg"  "The fundamental truths of the christian religion"  ""  ""  "W. D. Morrison, ed., George E. Thomson and Clara Wallentin, trans."  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref223	"Book:monograph"	"Henry Scott Holland"  "The optimism of Butler's 'Analogy'"  ""  ""  ""  ""  ""  ""  "Oxford"  ""  ""  ""  ""  ""  ""  
ref225	"Book:monograph"	"A. M. Fairbairn"  "Catholicism"  ""  ""  ""  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref226	"Book:monograph"	"Alfred Henderson"  "Latin proverbs and quotations"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref229	"Book:monograph"	"Henry C. Fish"  "Pulpit eloquence of the nineteenth century"  ""  ""  ""  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref228	"Book:monograph"	"William Boyd-Carpenter"  "Lectures on preaching delivered in the divinity school, Cambridge, in April and May, 1894"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref227	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref230	"Book:monograph"	"Randall Thomas Davidson and William Benham"  "Life of Archibald Campbell Tait, archbishop of Canterbury"  ""  ""  ""  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref231	"Book:monograph"	"Ernest Grey Sandford, ed."  "Memoirs of Archbishop Temple"  ""  ""  ""  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref234	"Book:monograph"	"Plato"  "The four Socratic dialogues of Plato"  ""  ""  "Benjamin Jowett, ed and trans."  ""  ""  ""  "Oxford"  ""  ""  ""  ""  ""  ""  
ref232	"Book:monograph"	"William Black"  "Kilmeny"  ""  ""  ""  ""  ""  "3 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref233	"Book:monograph"	"John Oliver Hobbes"  "The school for saints"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref235	"Book:monograph"	"Edwin A. Abbott"  "Philochristus"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref236	"Book:monograph"	"Ian Maclaren"  "Graham of Claverhouse"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref237	"Book:monograph"	"Justin McCarthy"  "Dear Lady Disdain"  ""  ""  ""  ""  ""  "2 vols"  "Leipzig"  ""  ""  ""  ""  ""  ""  
ref238	"Book:monograph"	"C. N. Williamson and A. M. Williamson"  "My friend the chauffeur"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref239	"Book:monograph"	"C. N. Williamson and A. M. Williamson"  "The lightning conductor"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref240	"Book:monograph"	"F. Hugh O'Donnell"  "Paraguay on Shannon"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref241	"Periodical:news:article"	""  "Pan-Anglican Congress: Canon Henson's tilt for revolution, appeal from creeds, women's work, bright discussions"  ""  ""  ""  "Daily Mail"  ""  ""  ""  ""  ""  ""  ""  "7-8"  ""  
ref242	"Other:Letter"	"H. H. Henson"  "Home reunion"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "10"  ""  
ref243	"Other:Letter"	"W. Sanday"  "Home reunion"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "6"  ""  
ref245	"Other:Letter"	"H. H. Henson"  "The bishop of Durham and the vestments"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "7"  ""  
ref244	"Periodical:news:article"	""  "Episcopacy and reunion"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "7"  ""  
ref246	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref247	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref248	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref249	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref250	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref251	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref252	"Periodical:journal:article"	"Alexei Nikolayevich Kuropatkin [trans. George Kennan]"  "The military and political memoirs of General Kuropatkin"  ""  ""  ""  "McClure's Magazine"  "31.5"  ""  ""  ""  ""  ""  ""  "483-99"  ""  
ref253	"Book:monograph"	"Thomas Carlyle"  "Sartor resartus"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref254	"Other:Letter"	"H. H. Henson, et al."  "Home reunion and the apostolic succession"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "5"  ""  
ref255	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref256	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref257	"Book:monograph"	"Oliver Lodge"  "Man and the universe"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref258	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref259	"Book:monograph"	"Richard Baxter"  "A breviate of the life of Margaret, the daughter of Francis Charlton and wife of Richard Baxter"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref260	"Book:monograph"	"Thomas Cartwright"  "The diary of Dr. Thomas Cartwright, bishop of Chester"  ""  ""  "Joseph Hunter, ed."  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref261	"Book:monograph"	"Alfred Firmin Loisy"  "Quelques lettres sur des questions actuelles et sur des &eacute;v&eacute;nements r&eacute;cents"  ""  ""  ""  ""  ""  ""  "Ceffonds"  ""  ""  ""  ""  ""  ""  
ref262	"Other:Letter"	"H. H. Henson"  ""Order" and "office""  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "12"  ""  
ref263	"Other:Poem"	"John Milton"  "'On the morning of Christ's nativity' [1629]"  ""  "<i>Poems</i>"  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref265	"Periodical:news:article"	""  ""  ""  ""  ""  "The Scotsman"  ""  ""  ""  ""  ""  ""  ""  "4"  ""  
ref264	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref266	"Periodical:news:article"	""  "Resignation of the archbishop of York"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "13"  ""  
ref268	"Book:monograph"	"G. G. Greenwood"  "The Shakespeare problem restated"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref267	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref269	"Book:monograph"	"Richard Baxter"  "A holy commonwealth, or political aphorisms, opening the true principles of government"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref270	"Other:Book chapter"	"Alfred Firmin Loisy"  "La carri&egrave;re de J&eacute;sus d'apr&egrave;s les &eacute;vangiles synoptiques"  ""  "<i>Les &eacute;vangiles synoptiques</i>"  ""  ""  ""  ""  "Ceffonds"  ""  ""  ""  ""  "203-24"  ""  
ref271	"Periodical:news:article"	""  "The new anglicanism"  ""  ""  ""  "Daily News"  ""  ""  ""  ""  ""  ""  ""  "6"  ""  
ref272	"Periodical:news:article"	""  "The decline of the pulpit"  ""  ""  ""  "Daily News"  ""  ""  ""  ""  ""  ""  ""  "6-7"  ""  
ref273	"Book:monograph"	"W. P. Ker"  "Sturla the historian"  ""  ""  ""  ""  ""  ""  "Oxford"  ""  ""  ""  ""  ""  ""  
ref274	"Other:Letter:letter"	"H. H. Henson"  "The home reunion society's meeting"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "12"  ""  
ref277	"Other:Poem"	"Robert Browning"  "Saul"  ""  "<i>Men and women</i>"  ""  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref275	"Periodical:news:article"	""  "Ecclesiastical intelligence"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "9"  ""  
ref276	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref279	"Book:monograph"	"Lucy Hutchinson"  "Memoirs of the life of Colonel Hutchinson"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref278	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref282	"Periodical:news:article"	""  "Ecclesiastical intelligence"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "8"  ""  
ref280	"Book:monograph"	"R. J. Campbell"  "The new theology"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref281	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref283	"Book:monograph"	"Alexander Taylor Innes"  "The law of creeds in Scotland"  ""  ""  ""  ""  ""  ""  "Edinburgh"  ""  ""  ""  ""  ""  ""  
ref284	"Periodical:news:article"	""  "Clerical subscription"  ""  ""  ""  "The Spectator"  ""  ""  ""  ""  ""  ""  ""  "675"  ""  
ref285	"Periodical:journal:article"	"H. H. Henson"  "Human life, perishing and immortal"  ""  ""  ""  "Christian World Pulpit"  ""  ""  ""  ""  ""  ""  ""  "24-6"  ""  
ref286	"Periodical:journal:article"	"H. H. Henson"  "Faith and theology"  ""  ""  ""  "Christian World Pulpit"  ""  ""  ""  ""  ""  ""  ""  "406-7"  ""  
ref287	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref288	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref289	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref290	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref291	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref292	"Book:monograph"	"Benjamin Kidd"  "Principles of western civilization"  ""  ""  ""  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref293	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref295	"Other:Letter"	"H. H. Henson, et al."  "The education bill"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "8"  ""  
ref294	"Other:Letter"	"Charles Gore"  "The education bill"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "11"  ""  
ref296	"Other:Letter"	"H. H. Henson, et al."  "The education bill"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "10"  ""  
ref297	"Book:monograph"	"Joseph Blanco White"  "The life of the Rev. Joseph Blanco White"  ""  ""  "John Hamilton Thom, ed."  ""  ""  "3 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref299	"Other:Letter"	"H. H. Henson, et al."  "Canon Henson on toleration"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "9"  ""  
ref298	"Other:Letter"	"W. Sanday"  "Canon Henson on toleration"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "8"  ""  
ref300	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref301	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref302	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref304	"Other:Letter"	"H. Russell Wakefield"  "The high churchmen's declaration"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "11"  ""  
ref303	"Other:Letter"	"H. H. Henson, et al."  "The high churchmen's declaration"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "8"  ""  
ref305	"Other:Letter"	"J. G. Simpson"  "The high churchmen's declaration"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "11"  ""  
ref306	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref307	"Book:monograph"	"Hastings Rashdall"  "The theory of good and evil"  ""  ""  ""  ""  ""  "2 vols"  "Oxford"  ""  ""  ""  ""  ""  ""  
ref309	"Book:monograph"	"Jeremy Taylor"  "The worthy communicant, or, a discourse of the nature, effects, and blessings consequent to the worthy receiving of the Lords Supper and of all the duties required in order to a worthy preparation"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref308	"Book:monograph"	"Willoughby C. Allen"  "A critical and exegetical commentary on the gospel according to S. Matthew"  ""  ""  ""  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref310	"Book:monograph"	"Jeremy Taylor"  "The whole works of the Right Rev. Jeremy Taylor, D.D., Lord Bishop of Down, Connor, and Dromore"  ""  ""  "Reginald Heber, ed."  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref311	"Book:monograph"	"J. B. Lightfoot"  "Saint Paul's epistle to the Philippians"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref312	"Other:Book chapter"	""  "Sermon IX: upon forgiveness of injuries"  ""  "<i>Sermons by Joseph Butler, D. C. L., sometime lord bishop of Durham</i>"  ""  ""  ""  "2 vols"  "Oxford"  ""  ""  ""  ""  "150-67"  ""  
ref313	"Book:monograph"	"[J. R. Seeley]"  "Ecce homo"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref314	"Book:monograph"	"Richard Chenevix Trench"  "Notes on the parables of our Lord"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref315	"Book:monograph"	"H. H. Henson"  "Reunion and intercommunion"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref316	"Book:monograph"	"Patrick Carnegie Simpson"  "The life of Principal Rainy"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref318	"Book:monograph"	"Gore, Charles"  "Orders and unity"  ""  ""  ""  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref317	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref319	"Book:monograph"	"Charles Augustus Briggs"  "Church unity"  ""  ""  ""  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref321	"Periodical:journal:article"	"Henson, H. H."  "Jesus or Christ"  ""  ""  ""  "Christian World Pulpit"  "76"  ""  ""  ""  ""  ""  ""  "345-8"  ""  
ref320	"Other:Book chapter"	"R. J. Campbell"  "Jesus or Christ?"  ""  "<i>Jesus or Christ?: the Hibbert Journal supplement 1909</i>"  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref323	"Periodical:journal:article"	"H. H. Henson"  "The church and the British empire, preached on Sunday June 25 at a United Service in St JudeÃ•s-on-the-Hill, Hampstead Garden City"  ""  ""  ""  "Christian World Pulpit"  ""  ""  ""  ""  ""  ""  ""  "1-3"  ""  
ref322	"Book:monograph"	"P. T. Forsyth"  "The person and place of Jesus Christ"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref324	"Periodical:journal:article"	"H. H. Henson"  "The strength of religion"  ""  ""  ""  "Christian World Pulpit"  ""  ""  ""  ""  ""  ""  ""  "104-6"  ""  
ref326	"Periodical:journal:article"	"H. H. Henson"  "Patriotic duty"  ""  ""  ""  "Christian Family Newspaper"  ""  ""  ""  ""  ""  ""  ""  "808"  ""  
ref325	"Periodical:journal:article"	"H. H. Henson"  "Christianity and patriotism"  ""  ""  ""  "Christian World Pulpit"  ""  ""  ""  ""  ""  ""  ""  "280-2"  ""  
ref327	"Periodical:news:article"	"H. H. Henson"  "The Evidences of the Resurrection"  ""  "<i>The value of the Bible an other sermons, 1902-1904</i>"  ""  ""  ""  ""  "London"  ""  ""  ""  ""  "201-13"  "event.19"  
ref328	"Other:Book chapter"	"H. H. Henson"  "Sincerity and subscription"  ""  "<i>Sincerity and subscription: a plea for toleration in the Church of England</i>"  ""  ""  ""  ""  "London"  ""  ""  ""  ""  "19-46"  "event..161"  
