ID 	Type	Author/editor	Title	Subtitle	Description	VolumeDetails	EditorTranslator	Periodical	VolNo	No.ofVols	PlaceOfPublication	Publisher	Date(year)	Date(month)	Date(full)	PageRange	CrossRef	Index?
ref32	"Periodical:news:article"	""  "Bishop and canon: Mr. Henson's view of the resurrection repudiated"  ""  ""  ""  "St. James's Gazette"  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref33	"Periodical:journal:article"	"H. H. Henson"  "The future of the bible"  ""  ""  ""  "Contemporary Review"  "85"  ""  ""  ""  ""  ""  ""  "565-76"  ""  
ref34	"Periodical:journal:article"	"H. H. Henson"  "Reason and rationalism from the side of religion"  ""  ""  ""  "Good Words"  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref35	"Other:journal:article"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref36	"Other:journal:article"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref37	"Book:monograph"	"Edward Caird"  "The evolution of religion"  ""  "2 vols"  ""  ""  ""  "2 vols"  "Glasgow"  ""  ""  ""  ""  ""  ""  
ref38	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref39	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref40	"Periodical:news:article"	"[Ernest Pearce]"  "Canon Henson's answer"  ""  ""  ""  "Times Literary Supplement"  ""  ""  ""  ""  ""  ""  ""  "212"  ""  
ref41	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref42	"Periodical:journal:article"	""  "Religion in Cambridge"  ""  ""  ""  "Church Quarterly Review"  "lX.117"  ""  ""  ""  ""  ""  ""  "1-28"  ""  
ref43	"Periodical:journal:article"	"Oliver Lodge"  "Sin"  ""  ""  ""  "The Hibbert Journal: A Quarterly Review of Religion, Theology, and Philosophy"  "3.1"  ""  ""  ""  ""  ""  ""  "1-25"  ""  
ref44	"Book:sermons "	"Hastings Rashdall"  "Doctrine and development"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref45	"Other"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref46	"Book:sermons"	"H. H. Henson"  "The value of the bible, and other sermons, 1902-1904, with a letter to the lord bishop of London"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref47	"Book:sermons"	"J. R. Illingworth"  "Christian character, being some lectures on the elements of christian ethics"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref48	"Book:edited collection"	"Alfred Caldecott and H. R. Mackintosh, eds."  "The literature of theism"  ""  ""  ""  ""  ""  ""  "Edinburgh"  ""  ""  ""  ""  ""  ""  
ref50	"Periodical:news:article"	"H. H. Henson "  "The meaning of Christmas"  ""  ""  ""  "London Evening Standard"  ""  ""  ""  ""  ""  ""  ""  "5"  ""  
ref51	"Book:monograph"	"W. H. Frere"  "A history of the English church"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref52	"Book:monograph"	"Arthur Cushman McGiffert"  "The Apostles' Creed"  ""  ""  ""  ""  ""  ""  "New York"  ""  ""  ""  ""  ""  ""  
ref53	"Book:monograph"	"H. H. Henson "  "Notes on popular rationalism"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref54	"Book:monograph"	"John Hacket"  "Scrinia reserata a memorial offer'd to the great deservings of John Williams, D. D., who some time held the places of Ld Keeper of the Great Seal of England, Ld Bishop of Lincoln, and Ld Archbishop of York"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref55	"Other:Letter:letter"	"H. H. Henson"  "Disestablishment and religious education"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "10"  ""  
ref56	"Book:monograph"	"Alfred Ainger"  "The gospel and human life"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref57	"Other:monograph"	""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref58	"Book:monograph"	"Edwyn Bevan"  "Jerusalem under the high-priests"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref59	"Book:monograph"	"Herbert Edward Ryle"  "On holy scripture and criticism"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref60	"Other"	""  ""  "Pliny the Younger, <i>Letter to Trajan and response</i> 10.96-97 (c. 112 CE). "  "Pliny the Younger, <i>Letter to Trajan and response</i> 10.96-97 (c. 112 CE). "  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref61	"Other:Poem"	"Frederick Faber"  "The old labourer'"  ""  "<i>Hymns selected from Faber</i> "  ""  ""  ""  ""  "London"  ""  ""  ""  ""  "161-6"  "pers.660"  
ref62	"Book:monograph"	"Adolf Harnack"  "The expansion of christianity in the first three centuries"  ""  ""  "James Moffat, trans."  ""  ""  "2 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref63	"Book:edited collection"	"William Hunt and W. R. W. Stephens, eds."  "A history of the English church"  ""  ""  ""  ""  ""  "8 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref64	"Other:Poem"	"Alfred Tennyson"  "Fatima'"  ""  "<i>Poems</i>"  ""  ""  ""  ""  "London"  ""  ""  ""  ""  "31-2"  ""  
ref65	"Book:monograph"	"George Webbe Dasent"  "Annals of an eventful life"  ""  ""  ""  ""  ""  "3 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref66	"Book:monograph"	"George Webbe Dasent"  "Three to one, or, some passages out of the life of Amicia Lady Sweetapple"  ""  ""  ""  ""  ""  "3 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref68	"Book:monograph"	"Charles Gore"  "Spiritual efficiency"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref67	"Book:monograph"	"George Webbe Dasent"  "Half a life"  ""  ""  ""  ""  ""  "3 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref69	"Book:sermons"	"Arthur F. Winnington Ingram"  "The faith of church and nation"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref70	"Other:Poem"	"Juvenal"  "Satire 15'"  ""  "<i>Juvenal and Persius<i>"  ""  ""  ""  ""  "Cambridge"  ""  ""  ""  ""  "487-501"  ""  
ref71	"Other:Letter :letter "	"H. H. Henson "  "The clergyman in politics "  ""  ""  ""  "Westminster Gazette "  ""  ""  ""  ""  ""  ""  ""  "2"  ""  
ref73	"Other:Letter:letter"	"H. H. Henson"  "St. Margaret's, Westminster, and the House of Commons"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "6"  ""  
